1,Citation,Date of Judgments,Length of marriage till IJ (include separation period),Length of marriage (exclude separation period),Number of children,Wife's income (monthly),Husband's income (monthly),Single or dual income marriage,Direct contri (Wife),Indirect contri (Wife),Average ratio (Wife),Final ratio (post-adjustments),Adjustments?,Adjustments were for,Remarks,,,New columns,Cost of Court
TIT v TIU and another appeal,[2016]3 SLR 1137; [2016] SGHCF 8,13-May-16,17,16,4,$0,$21000,Single,0,65,32.5,32.5,0,,,,,,
TNQ v TNR ,[2016] SGFC 51 ,13-May-16,8,8,2,$3200,$4600,Dual ,62,60,61,61,0,,,,,,
TOM v TON,[2016] SGFC 65,26-May-16,13,13,2,$1754,Undisclosed,Dual ,43,60,51.5,50,Minus 1.5,"Court was of the view that equal division was appropriate, given the length of the marriage with 2 children",,,,,
TOO v TOP,[2016] SGFC 64,30-May-16,11,11,2,$3600,$3000,Dual,50.32,75,62.66,62.66,0,,,,,,
TVH v TVI,[2016] SGFC 162,28-Jun-16,4,4,0,$3050,$6201,Dual,30 (weighted at 80%),20 (weighted at 20%),25,28,Plus 3,20% weightage given to indirect contributions. Court minded to divide along the lines of direct contributions given the short length of the marriage,,,,,
TPS v TPT,[2016] SGFC 86,1-Jul-16,18,17,2,$8750,$1504,Dual,40,60,50,55,Plus 5,Adverse inference drawn against husband for hiding assets ,,,,,
TQF v TQG ,[2016] SGFC 88 ,20-Jul-16,15,15,1,$1700,$12462,Dual ,14,50,32,32,0,,,,,,
TQH v TQI,[2016] SGHCF 11,25-Jul-16,29,26,3,Undisclosed,Undisclosed,Dual,31,65,48,50,Plus 2,To effect equal division - marriage was relatively long and the contributions would likely have been equal in the respective domains,,,,,
TQL v TQM,[2016] SGFC 92,27-Jul-16,11,10,2,$0,$2378,Single ,47,50,48.5,48.5,0,,,,,,
TQN v TQO,[2016] SGHCF 13,4-Aug-16,17,11,2,Undisclosed ,Undisclosed ,Dual ,5.3,60,33,33,0,,,,,,
TSI v TSJ,[2016] SGFC 91,5-Aug-16,21,21,2,$870,Undisclosed,Dual,68,40,54,50,Minus 4,Adverse Inference drawn from W,,,,,
TQZ v TRA,[2016] SGFC 99,11-Aug-16,7,7,1,$2000,$2800,Dual,40.3,40,40.15,47,Plus 6.85,"H had enjoyed rent-free occupation, W needed to provide for child",,,,,
TRK v TRL,[2016] SGFC 102,1-Sep-16,21,16,3,$2080,$10000,Dual,53.3,40,46.65,51.5,Plus 4.85,"Wife earns lower income, has care and control of child",,,,,
TRY v TRZ,[2016] SGFC 112,20-Sep-16,5,5,1,Undisclosed,Undisclosed,Dual,30 (weighted at 75%),65  (weighted at 25%),39,42,Plus 3,"Adverse inference against H for not fully disclosing assets, considered future needs of child",,,,,
TTP v TTQ (matrimonial home),[2016] SGFC 127,17-Oct-16,27,22,3,$1200,$31193,Single,1,60,30.5,30,,,,,,,
TTP v TTQ (Indian properties),[2016] SGFC 127,17-Oct-16,27,22,3,$1200,$31193,Single,0,60,30,30,,,,,,,
TTP v TTQ (other assets),[2016] SGFC 127,17-Oct-16,27,22,3,$1200,$31193,Single,13.9,60,36.6,37,Plus 0.4,Just and equitable,,,,,
" 
TTT v TTU 
",[2016] SGFC 134,3-Nov-16,13,12,0,Undisclosed,Undisclosed,Dual,29,40,34.5,31,Minus 3.5,"Rent-free occupation of matrimonial property enjoyed by W, adverse inference drawn against W for non-disclosure",,,,,
TYI v TYJ,[2016] SGFC 147,22-Nov-16,12,9,2,$10000,$3040,Dual,61,70,65.5,70,Plus 4.5,Wife had financed the purchase and maintenance of a car in the husband's name,,,,,
TWO v TWP,[2016] SGFC 160,14-Dec-16,Approx 30 (IJ date not clear),Approx 30,3,Undisclosed,Undisclosed,Undisclosed,25,60,42.5,42.5,0,,,,,,
 TUV v TUW ,[2016] SGHCF 15,15-Dec-16,13,11,4,$2800,$18750,Dual,41,60,50.5,50,Minus 0.5,Just and equitable for both parties to receive equal amounts,,,,,
TVJ v TVK,[2017] SGHCF 1,3-Jan-17,33,33,1,$0,$12000,Single,2,75,38.5,50,11.5,Awarded the indirect contributions ratio 65% weight - marriage was long,,,,,
TWK v TWL,[2017] SGFC 3,5-Jan-17,3,1,1,$10000,$31600,Dual,49.6,65,57.3,68,Plus 10.7,"W has care and control of child, H has substantially more personal assets and enjoyed rent-free occupation of mat home for more than 2 years, the standard of living enjoyed by the wife",,,,,
TXW v TXX ,[2017] SGHCF 4; [2017] 4 SLR 799,24-Feb-17,22,20,0,$0,$0 (Retired),single ,0,65,32.5,35,Plus 2.5,Adjustment to reflect that H's expenditure not explained. (H's claimed medical expenses were high and his claim of depreciation o assets was disbelieved),,,,,
BNS v BNT ,[2017] 4 SLR 213; [2017] SGHCF 5,27-Feb-17,10,10,2,$2500,$34863,Dual,20,60,40,40,0,,,,,,
TNL v TNK,[2017] 1 SLR 609; [2017] SGCA 15,3-Mar-17,35,35,3,$0,$8000,Single,14,75,44.5,50,Plus 0.5,"Trial judge found that equal division was appropriate, CA saw no reason to disturb the decision ",,,,,
TYY v TYZ,[2017] SGHCF 6,13-Mar-17,24,18,2,Undisclosed,Undisclosed,Dual,73.3,50,62,62,0,,"While salary was Undisclosed, there was a comment that W earned more than H",,,,
TYS v TYT ,[2017] SGHFC 7 ,17-Mar-17,17,16,1,$0,$21000,Single ,15,75,45,67,W to get the condominium (judge described this as enhancement of 22%) ,Needs of the family (son had autism) and adverse inference drawn against H for non-disclosure,,,,,
TYU v TYV ,[2017] SGHCF 8,21-Mar-17,15,11,1,$0,$60000,Single,7 (weighted at 55%),65 (weight at 45%),33.1,32,Minus 1.2,"having regard to the ANJ v ANK factors. In particular, husband would have to raise funds against his business assets.",,,,,
TZU v TZV,[2017] SGFC 39,30-Mar-17,9,9,2,$2500,$12475,Dual,6.2,60,33.1,38.1,Plus 5,H failed to make full and frank disclosure of accounts and shares,,,,,
UAK v UAL,[2017] SGFC 8,31-Mar-17,20,20,1,Undisclosed,$1534,Dual,34.7,65,49.9,49,Minus 0.9,Adverse inference against husband but final ratio also had to favour husband who was given C&C of disabled child,,,,,
UAG v UAH,[2017] SGFC 2 ,31-Mar-17,8,8,2,$6499,$15000,Dual,11.8 (weighted at 60%),55 (weighted at 40%),33.4,32,Minus 1.4,"Indirect contributions weighted at 40% (which would have resulted in wife receiving 29.1%). Thereafter, just adjusted the ratio upwards in the wife's favour in order to give weight to the needs of the children",,,,,
TZQ v TZR (matrimonial home),[2017] SGFC 40,31-Mar-17,13,13,0,$0,$5500,Single ,9.7,50,30,40,Plus 10,Adverse inference drawn against H for concealing assets,,,,,
TZQ v TZR (other assets),[2017] SGFC 40,31-Mar-17,13,13,0,$0,$5500,Single ,1.04,50,25,35,Plus 10,Adverse inference drawn against H for concealing assets,,,,,
UAR v UAS,[2017] SGFC 34,10-Apr-17,11,11,1,$0,$6500,Single ,59.8,70,65 (rounded from 64.9),65,0,,,,,,
TND v TNC and anor appeal (Group A assets),"[2017] SGCA 34, see also [2016] 3 SLR 1172; [2016] SGCHF 9",27-Apr-17,13,13,1,Undisclosed,Undisclosed,Dual,15,65,40,40,0,,CA allowed appeal on other issues but did not disturb judge's decision on ratio of division,,,,
TND v TNC and anor appeal (Group B assets),"[2017] SGCA 34, see also [2016] 3 SLR 1172; [2016] SGCHF 9",27-Apr-17,13,13,1,Undisclosed,Undisclosed,Dual,5,65,35,35,0,,CA allowed appeal on other issues but did not disturb judge's decision on ratio of division,,,,
UBK v UBL,[2017] SGFC 54,5-May-17,9,9,3,Undisclosed,Undisclosed,Dual,46,75,60.5,65,Plus 4.5,"Adverse inference drawn against wife, but ultimately uplift given to take into account needs of 3 children staying with her",,,,,
UBM v UBN ,[2017] 4 SLR 921; [2017] SGHCF 13,9-May-17,12,12,4,$0,Undisclosed,Single,0,65,32.5,40,Plus 7.5,To avoid double-counting for financial contributions and to be in line with precedent cases,,,,,
UCC v UCD,[2017] SGFC 64,15-May-17,15,15,0,$8000,$1000-$1500,Dual,91.1,70,80.55,81,Plus 0.45,Backdrop was that wife had contributed more overall,,,,,
UBD v UBE ,[2017] SGHCF 14,29-May-17,27,24,2,$2200,$16511,Dual,17,63,40,40,0,,,,,,
UCM v UCN,[2017] SGFC 71,29-May-17,18,18,2,Undisclosed,Undisclosed,Undisclosed,40,55,47.5,47.5,0,,,,,,
UCO v UCP,[2017] SGFC 69,30-May-17,39,35,2,$1500,Undisclosed,Single,17 (weighted at 30%),85 (weighted at 70%),64.5,75,Plus 10.5,Adverse inference drawn against the husband for concealing assets,,,,,
UCY v UCZ,[2017] SGFC 76,16-Jun-17,6,5,3,$4000,$8750,Dual,5.5,35,20.25,23,Plus 2.75,"Indirect contributions weighted at 60% (which would have resulted in wife receiving 23.2%). Rounded down to 23% because wife had withdrawn some $250,000 from their bank accounts",,,,,
UDH v UDI ,[2017] SGFC 78,28-Jun-17,10,4,1,$7202,$19000,Dual,34.54,75,55,55,0,,,,,,
UDR v UDS ,[2017] SGFC 80,10-Jul-17,15,13,2,$3831,$22580,Single,3,70,36.5,42,41.5 to 42,Adverse inference against husband as he was deliberately concealing money which represented sale proceeds of the property in anticipation of divorce,"Upheld on appeal, see UDS v UDR [2018] SGHCF 3 (although W was ordered to pay maintenance for the children and HC judge noted that the indirect contribution ratio was on the ""high side"")",,,,
UDL v UDM,[2017] SGFC 77,12-Jul-17,13,13,0,$1088.90,Undisclosed,Dual,0,Undisclosed,Undisclosed,5,Undisclosed,Rent-free occupation enjoyed by W - adjustments not clearly explained,,,,,
UDP v UDQ ,[2017] SGFC 84,17-Jul-17,21,21,2,$4000,$27650,Dual,15.6,50,32.8 (rounded to 35),35,0,,,,,,
UDT v UDU,[2017] SGFC 85,21-Jul-17,20,16,2,$2200,$14600,Dual,14.4,60,37.2 (rounded to 40),40,0,,,,,,
TBZ v TCA,[2017] SGHCF 18,28-Jul-17,24,23,3,$38000 (a little under half of the H's),$76000,Dual,49.6,50,49.3,50, Plus 0.7,"Equal division was just to ""give dignity to their joint past endeavour""",,,,,
UEP v UEQ,[2017]SGFC 93,3-Aug-17,13,13,3,$2500,$26900,Dual,25.3,55,40,40,0,,"The CA overturned the lower courts decision on one ground: whether two allotment of shares which had been given to the H ought to be included in the pool of matrimonial assets. It found that the second allotment of 60,000 shares was a gift which H's father did not intend W to have share in. 

See UEQ v UEP [2019] SGCA 45",,,,
ABC v ABB,[2017] 1 SLR 6 (HC),1-Aug-17,7,5,2,$3500,$4000,Dual,30,70,50,60,Plus 10,Adverse inference and lump sum maintenance.,[This case was previously input but I cannot find it on Lawnet - GT (AGC) 13/2/2019],,,,
UEV v UEW and UEX,[2017] SGFC 101,8-Sep-17,8,7,1,$2000,$16000,Single,N/A,N/A,N/A,30,0,"Court decided that this was a single-income short marriage to which the ANJ v ANK approach did not apply. Looking at precedents, court decided 30% should go to the wife",,,,,
UFA v UFB,[2017] SGFC 107,8-Sep-17,12,8,2,$20413,$5806,Dual,81,80,80,80,0,,,,,,
UFU(M.W.) v UFV,[2017]SGHCF 23,25-Sep-17,16,14,4,$2300 (+$1100 AUD),$140000,Single,0,75,37.5,37.5,0,,,,,,
TXO v TXP,[2017] SGFC 117,30-Sep-17,12,8,0,$1000,$21540.21,Dual,11.9,40,25.95,25.95,0,,,,,,
UGG v UGH,[2017] SGHCF 25,16-Oct-17,13,10,2,$3888 (Able to earn $7300),$50000,Dual,7.7,55,31.35,31.35,0,,,,,,
UGM v UGN ,[2017] SGFC 123,24-Oct-17,18,16,1,$1000,$13829,Single ,0,Undisclosed,Undisclosed,40,0,,,,,,
UGU v UGV ,[2017] SGFC 127,1-Nov-17,8,5,1,$2100,$7387,Dual,12.94 (weighted at 75%),60 (weighted at 25%),24.7,24.7,0,,,,,,
UGO v UGP,[2017] SGFC 124,8-Nov-17,27,27,2,$1500,$26000,Dual,30.5,70,49.75 (rounded to 50),50,0,,,,,,
UBW v UBX ,"[2017] SGHCF 26, [2017] SGFC 61",13-Nov-17,7,6,2,$3666,$5625,Dual ,54,60,57,57,0,"Appeal by wife against DJ's order  dismissed by HC, as orders were ""just and equitable as a whole""",,,,,
"
 

 
 UFE v UFF ",[2017] SGHCF 28,21-Nov-17,21,19,1,$0,$9343,Single,6.55,Undisclosed,Undisclosed,45,,Husband had been less than open about his income and assets,,,,,
UKA v UKB,[2018] SGHCF 7,28-Dec-17,28,26,4 (all above majority),Undisclosed,Undisclosed,Dual,20,80,50,50,0,,Judge actually decided on an equal split before observing that the ANJ structured approach would achieve the same result,,,,
UJH V UJI,[2018] SGHCF 4,8-Feb-18,21,19,2,Undisclosed,Undisclosed,Dual,38.7,40,50 (rounded from 49.35),50,0,,,,,,
UJB v UJC,[2018] SGFC 11,13-Feb-18,30,22,1,$1300-$2000,$1500-$1800,Dual,42.2,50,46.1,46.1,0,,,,,,
YKE v YKF,[2018] SGFC 21,26-Feb-18,35,31,2 (above majority),Not drawn since 2013,$8000,Dual,60,60,60,49.98,Minus 16.7% from total,Division of matrimonial property (adjustment to preserve W's mother's share in the matrimonial property),,,,,
,,,,,,,,,64,60,62,62,0,Division of other assets,,,,,
UKC v UKD,[2018] SGFC 19,28-Feb-18,17,15,1,$800,$1500,Dual,56,55,55.5,55.5,0,,H was the sole breadwinner for majority of marriage. W only started working in Nov 2013; Pf left the home in Sept 2014. ,,,,
UKN v UKO,[2018] SGFC 27,8-Mar-18,13,13,1,Undisclosed,Undisclosed,Dual,53,50,51.5,50,Minus 1.5,To achieve equal division,,,,,
UKP v UKQ,[2018] SGFC 28,12-Mar-18,11,11,2,$2600,$2600,Dual,14.3,50,32.15,38,Plus  6,Division of matrimonial home (adjustment because C&C over kids given to Wife),,,,,
,,,,,,,,,68.5,50,59.25,65.25,Plus 6 ,Division of other assets (adjustment because C&C over kids given to W),,,,,
UJP v UJQ,[2018] SGHCF 9,3-Apr-18,15,15,3,$13897.83,Undisclosed,Dual,27.92,65,46.46,46.46,0,,Lawnet editorial note: cross-appeals were dismissed by SGCA on 31 Jan 2019 with no written GD rendered. CA agreed with decision of judge below as well as his reasons on the various issues.,,,,
UKI v UKJ,[2018] SGFC 23,6-Apr-18,17,17,1 (excluding stepchild),Undisclosed,$2500,Dual,4,40,22,19,Minus 3  ,Adverse inference against W,H offered to pay W a sum equivalent to 25% of net value of matrimonial home and hence at the end of the day she took home approximately 22% of the matrimonial pool.,,,,
UKV v UKW,[2018] SGFC 35,10-Apr-18,10,10,3,$1400,$8000,Dual,20,60,40,40,0,,,,,,
ULD v ULE,[2018] SGFC 36,12-Apr-18,16,16,2,$4000 (last drawn in 2008),$13297,Single (wife stopped work in 2008),17,55,36,36,0,Division of the Boon Teck property,,,,,
,,,,,,,,,17,55,36,36,0,Division of all other assets,,,,,
ULF v ULG,[2018] SGFC 38,20-Apr-18,5,4,2,$3001 (take home),$3599 (take home),Dual,53,55,54,54,0,,Parties lived separate and apart a year before IJ although divorce was on ground of UB. ,,,,
ULH v ULI,[2018] SGFC 39,25-Apr-18,8.5,8.5,1,$2000 (take home),$6000 (last drawn),Dual,15,50,32.5,32.5,0,,H had not had permanent job for the past 3.5 years. ,,,,
ULL v ULM,[2018] SGFC 41,27-Apr-18,13,Undisclosed,1,$6700,$21081,Dual,19,30,24.5,24.5,0,,,,,,
UKG v UKH,[2018] SGFC 22,15-May-18,7 years 9 months,7 years 9 months,2,Undisclosed,Undisclosed,Dual,35,40,37.5,30,Minus 7.5,Wife's non-disclosure of assets,Wife did not work for the period of time between start of marriage and 2011.,,,,
ULZ v UMA,[2018] SGFC 50,6-Jun-18,25,21,2 (1 above majority),$0,Undisclosed,Single,47,55,51,50,Minus 1,To achieve equal division,J found that equal division appropriate (1) in line with trend for long marriage and (2) since W had been given benefit of deducting some pre-marital assets but H had not.,,,,
UMX v UMY,[2018] SGFC 58,6-Jul-18,8 years 8 months,8 years 8 months,2,$5000 (take home),$4785.93 (take home),Dual,44,50,47,42,Minus 5,Adverse inference drawn against wife,,,,,
UMT v UMU,[2018] SGFC 59,9-Jul-18,22,22,3 (2 above majority),$1450,$2500 (earning capacity),Dual,0,70,35,40,Plus 5,Adverse inference drawn against husband,Wife stopped working in 2003 but started working again in 2015. ,,,,
UMZ v UNA,[2018] SGFC 61,13-Jul-18,17,Undisclosed,1,$0,Undisclosed,Single,0,40,20,25,Plus 5,Division of 2 matrimonial properties (adjustment because child is with W),,,,,
,,,,,,,,,16.5,40,28.25,33,"Plus 5, rounded off",Division of other assets (adjustment because child is with W),,,,,
UNE v UNF,[2018] SGHCF 12,8-Aug-18,29,Undisclosed,2 (both above majority),$7000 (until 2002),$128000 (from 2006 to 2015),Dual,25,75,50,50,0,,"J noted this was not a single-income marriage, but also not quite a fully Dual-income marriage as the W had stopped working for the last 10 years of their marriage.",,,,
UOE v UOF,[2018] SGFC 71,27-Aug-18,16+,16+,2,$2000-$5000+,$9000-$12000+,Dual,15.3,55,35.15,41,Plus 6 ,Division specifically for matrimonial home - adjustment for children being under W's care and control,Wife has appealed against this decision.   ,,,,
,,,,,,,,,17,55,36,42,Plus 6,Division of other matrimonial assets - adjustment for children being under W's care and control,,,,,
UOC v UOD,[2018] SGFC 73,28-Aug-18,18,Undisclosed,0 (excluding stepchildren),$103.75 (NTUC policy),$3953,Dual,9 (weighted at 70%),55 (weighted at 30%),22.8,22.8,0,,"In changing the weightage, judge noted that this was a 'slightly longer' and not 'entirely childless' marriage as compared to ANJ (here, H had children from his previous marriage). J noted the result would be the same even if he had abandoned the ANJ approach and decided purely on precedents. On whether this was single-income marriage, J noted that W was able to earn salary of $1,100 per month in 2014-2015 and was in active employment at least until Feb 2017.",,,,
UNS v UNT,[2018] SGFC 72,31-Aug-18,20 years 8 months,20 years 8 months,2,$5400,Undisclosed,Dual,35,60,47.5,47.5,0,Division specifically for matrimonial home,Husband has appealed against this decision. Judge commented that H was earning significantly more than W throughout the marriage.,,,,
,,,,,,,,,54,60,57,65,Plus 8,Division of other matrimonial assets - adjustment for H's lack of disclosure,,,,,
UNQ v UNR,[2018] SGFC 74,3-Sep-18,11 years 4 months,11 years 4 months,2,Undisclosed,Undisclosed,Single,18,60,39,39,0,Division specifically for matrimonial home,W used to work too but H became sole breadwinner from 2012. ,,,,
,,,,,,,,,25,60,42.5,42.5,0,Division of other matrimonial assets,,,,,
UPG v UPH,[2018] SGFC 90,4-Oct-18,21,Undisclosed,3,$2200,$4300,Dual,61,75,68%,68,0,,Husband has appealed against this decision. ,,,,
UPQ v UPR,[2018] SGFC 94,18-Oct-18,6,6,0,Undisclosed,$3600,Dual,15,60,37,,,,"Judge accorded W 10% more in indirect contributions in light of the 1.5 years that the H was incarcerated, leaving W to manage business affairs on her own. W claimed she had no income since 2017, although her take home income was $51,296 in 2016",,,,
BON and others v BOQ,[2018] SGCA 68,22-Oct-18,21,Undisclosed,2 (above majority),Undisclosed,Undisclosed,Dual,38.7,60,49.35,50,Rounded up,,,,,,
UPS v UPT,[2018] SGFC 97,26-Oct-18,14,Undisclosed,1,$4500,Undisclosed,Dual,36,50,43,43,0,,Both parties have appealed against this decision. W's income based on employment found in the course of proceedings; Undisclosed if she was drawing similar salary during the course of marriage.,,,,
UPW v UPX,[2018] SGFC 100,30-Oct-18,35,35,1 (of majority),$3000,$6000,Dual,33,60,46,46,0,,Husband has appealed against this decision. ,,,,
UPM v UPN,[2018] SGFC 95,31-Oct-18,9,9,1,$6000,$6000 - $10000,Dual,13,50,31.5,31.5,0,,,,,,
UPU v UPV,[2018] SGFC 99,1-Nov-18,38,Undisclosed,1 (of majority),Undisclosed,Undisclosed,Undisclosed,34,66,50,50,0,,Wife has appealed against this decision.,,,,
UMU v UMT and another appeal,[2018] SGHCF 16,12-Nov-18,22,Undisclosed,3 (1 above majority),$0,2500 (earning capacity),Single,N/A,N/A,45,50,Plus 5,Adverse inference drawn against husband for withdrawing large sums within a year of the IJ without reasonable explanation,"Judge departed from DJ in holding: (1) this is a single income marriage despite the fact that the wife had resumed work; and (2) inclining towards equal division would be appropriate in this case, hence added 10% to DJ's assessment of W's ratio (35%).",,,,
BOR v BOS,[2018] SGCA 78,21-Nov-18,11 years 4 months,7 years 4 months,2,$0,Undisclosed,Single,N/A,N/A,35,35,0,,"This was a mid-length marriage. For when a marriage would be considered 'long', court noted that the court in TNL v TNK had referred to precedents involving marriages of between 26 to 30 years. Further, since this was a single-income marriage, ANJ approach did not apply.",,,,
UQL v UQM,[2018] SGFC 106,30-Nov-18,3+,3+,1,$1552,$1800,Dual,18,60,39,35,Minus 4,Adverse inference drawn against wife for failing to make full and frank disclosure of her assets,Husband has appealed against this decision.,,,,
UQT v UQU,[2018] SGFC 115,11-Dec-18,5,2,0,$0 (Retired),$34048,Single,60,N/A,60,60,0,,Division solely according to direct financial contributions since this was an extremely short childless marriage. Judge also noted that ANJ approach may no be entirely applicable for single income couples,,,,
UQX v UQY,[2018] SGFC 116,13-Dec-18,37,37,2 (both above majority),$0 (Retired),$0 (Retired),Dual,50,50,50,50,0,,"Wife has appealed against this decision. Parties were retired at time of hearing. However, W's last drawn gross salary was $3,730.00. In 2008, W's net monthly salary was $2,304 and H's was $5,242.73.",,,,
URB v URC,[2018] SGFC 117,18-Dec-18,3+,3+,1,$3500,$11705,Dual,30,60,45,45,0,,Wife has appealed against this decision.,,,,
UQZ v URA,[2019] SGFC 2,8-Jan-19,7,7,1,Undisclosed,Undisclosed,Dual,59.2,55,57.1,57.1,0,,The figures were corrected (computational error) in UQZ v URA [2019] SGFC 17,,,,
BPC v BPB,[2019] SGCA 03,10-Jan-19,17,17,2,Undisclosed,Undisclosed,Dual,14.4,65,33.24,33.24,Plus 10 to existing asset pool,,"High income marriage: pool of MA valued at $38k. While salary was Undisclosed, there was a comment that W earned a steadier income than H at the beginning of their marriage, although this changed in 2005",,,,
URD v URE,[2019] SGFC 3,14-Jan-19,17,13,3,$800,$1200,Dual,5,95,50,50,0,,Husband has appealed against this decision.,,,,
USI v USJ,[2019] SGFC 5,14-Jan-19,17,Undisclosed,0,Undisclosed,Undisclosed,Dual,58.5,N/A,58.5,58.5,0,"Adverse inference was drawn against both parties to the same extent, hence no adjustment to final ratio","As this was a childless marriage of moderate length, wherein there was no reason to accord much weight to parties' indirect contributions, Judge decided solely on the basis of direct financial contributions. ",,,,
UQF v UQG,[2019] SGFC 10,16-Jan-19,8,4,2,Undisclosed,Undisclosed,Dual,46,55,50.5,55,0,Adverse inference drawn against husband for failure to make full and frank disclosure (plus 10%). Wife's rent free occupation of matrimonial home for 6 years (minus 6%).,,,,,
TZQ v TZR,[2019] SGHCF 3,18-Jan-19,20,16,4 (from parties' previous marriages; all above majority),$0,Undisclosed,Single,0.77,50,25.38,41,0,Taking into consideration adverse inference drawn against husband for continuing non-disclosure of certain documents,"Period of cohabitation can be taken into account in deciding division of MA. Here, parties were married for 13 years (including separation), but court took duration to be 20 years including cohabitation.",,,,
